Sample ID,Commodity,Pesticide Code,Pesticide Name,Concentration,LOD,pp_,Annotate,Quantitate,Mean,Commodity Type,Variety,Commodity Claim,Facility Type,Origin,Country,State,Quantity,EPA Tolerance (ppm)
"CA9801260053STCA1","ST","011","Captan","0.7","0.012","M","","M","O","FR","","NC","T","1","","CA","","25"
"CA9801260053STCA1","ST","626","Iprodione","0.27","0.021","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CA9801260077STUS1","ST","192","Benomyl","0.37","0.05","M","","H","O","FR","","NC","T","1","","CA","","5.0"
"CA9801260077STCA1","ST","011","Captan","1.9","0.012","M","","M","O","FR","","NC","T","1","","CA","","25"
"CA9801260411STCA1","ST","626","Iprodione","2.1","0.021","M","","M","O","FR","","NC","O","1","","CA","","15.0"
"CA9801270140STUS1","ST","192","Benomyl","0.69","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"CA9802090099STCA1","ST","011","Captan","0.69","0.012","M","","M","O","FR","","NC","T","1","","CA","","25"
"CA9802090146STCA1","ST","626","Iprodione","0.035","0.021","M","Q","M","O","FR","","NC","D","1","","CA","","15.0"
"CA9802090149STCA1","ST","033","Anilazine","0.31","0.042","M","","M","O","FR","","NC","D","1","","CA","","10"
"CA9802090149STCA1","ST","011","Captan","0.083","0.012","M","","M","O","FR","","NC","D","1","","CA","","25"
"CA9802090149STCA1","ST","626","Iprodione","0.035","0.021","M","Q","M","O","FR","","NC","D","1","","CA","","15.0"
"CA9802090149STCA1","ST","902","Endosulfan sulfate","0.012","0.007","M","Q","M","O","FR","","NC","D","1","","CA","","2.0"
"CA9802090149STCA1","ST","901","Endosulfan II","0.01","0.006","M","Q","M","O","FR","","NC","D","1","","CA","","2.0"
"CA9802090149STCA1","ST","529","Vinclozolin","0.57","0.01","M","","M","O","FR","","NC","D","1","","CA","","10"
"CA9802090233STCA1","ST","102","Carbaryl","0.54","0.008","M","","H","O","FR","","NC","D","1","","CA","","10"
"CA9802090233STCA1","ST","011","Captan","2.3","0.012","M","","M","O","FR","","NC","D","1","","CA","","25"
"CA9802090312STCA1","ST","011","Captan","0.064","0.012","M","","M","O","FR","","NC","O","1","","CA","","25"
"CA9802100121STCA1","ST","626","Iprodione","0.077","0.021","M","","M","O","FR","","NC","O","1","","CA","","15.0"
"CA9802100152STCA1","ST","159","Methomyl","0.9","0.012","M","","H","O","FR","","NC","D","1","","CA","","2"
"CA9802100162STCA1","ST","011","Captan","0.24","0.012","M","","M","O","FR","","NC","D","1","","CA","","25"
"CA9803030114STCA1","ST","626","Iprodione","0.83","0.021","M","","M","O","FR","","NC","O","1","","CA","","15.0"
"CA9803030114STCA1","ST","024","Diazinon","0.003","0.002","M","Q","M","O","FR","","NC","O","1","","CA","","0.5"
"CA9803030231STCA1","ST","529","Vinclozolin","0.19","0.01","M","","M","O","FR","","NC","T","1","","CA","","10"
"CA9803030231STCA1","ST","011","Captan","0.02","0.012","M","Q","M","O","FR","","NC","T","1","","CA","","25"
"CA9804200020STUS1","ST","192","Benomyl","0.083","0.05","M","Q","H","O","FR","","NC","T","1","","CA","","5.0"
"CA9804200020STCA1","ST","011","Captan","2.3","0.012","M","","M","O","FR","","NC","T","1","","CA","","25"
"CA9804200020STCA1","ST","529","Vinclozolin","1.7","0.01","M","","M","O","FR","","NC","T","1","","CA","","10"
"CA9804200114STUS1","ST","192","Benomyl","1.6","0.05","M","","H","O","FR","","NC","O","1","","CA","","5.0"
"CA9804200114STCA1","ST","626","Iprodione","0.1","0.021","M","","M","O","FR","","NC","O","1","","CA","","15.0"
"CA9804200146STUS1","ST","192","Benomyl","0.3","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"CA9804200146STCA1","ST","626","Iprodione","0.035","0.021","M","Q","M","O","FR","","NC","D","1","","CA","","15.0"
"CA9804200146STCA1","ST","102","Carbaryl","0.031","0.008","M","","H","O","FR","","NC","D","1","","CA","","10"
"CA9804200177STUS1","ST","192","Benomyl","0.19","0.05","M","","H","O","FR","","NC","O","1","","CA","","5.0"
"CA9804200274STCA1","ST","011","Captan","0.24","0.012","M","","M","O","FR","","NC","D","1","","CA","","25"
"CA9804210038STUS1","ST","192","Benomyl","0.26","0.05","M","","H","O","FR","","NC","T","1","","","","5.0"
"CA9804210053STCA1","ST","679","Myclobutanil","0.12","0.02","M","","M","O","FR","","NC","T","1","","CA","","0.5 R"
"CA9804210099STUS1","ST","192","Benomyl","0.28","0.05","M","","H","O","FR","","NC","T","1","","CA","","5.0"
"CA9804210231STUS1","ST","192","Benomyl","0.083","0.05","M","Q","H","O","FR","","NC","T","1","","CA","","5.0"
"CA9805060121STCA1","ST","254","Dicofol p,p'","0.21","0.01","M","","H","O","FR","","NC","O","1","","CA","","5"
"CA9805060149STUS1","ST","192","Benomyl","0.68","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"CA9805060149STCA1","ST","011","Captan","0.1","0.012","M","","M","O","FR","","NC","D","1","","CA","","25"
"CA9805060149STCA1","ST","626","Iprodione","0.035","0.021","M","Q","M","O","FR","","NC","D","1","","CA","","15.0"
"CA9805060223STUS1","ST","192","Benomyl","0.083","0.05","M","Q","H","O","FR","","NC","T","1","","","","5.0"
"CA9805060233STCA1","ST","159","Methomyl","0.32","0.012","M","","H","O","FR","","NC","D","1","","CA","","2"
"CA9805060233STCA1","ST","626","Iprodione","0.15","0.021","M","","M","O","FR","","NC","D","1","","CA","","15.0"
"CA9805060233STCA1","ST","011","Captan","0.02","0.012","M","Q","M","O","FR","","NC","D","1","","CA","","25"
"CA9805070004STCA1","ST","529","Vinclozolin","1","0.01","M","","M","O","FR","","NC","D","1","","CA","","10"
"CA9805070028STCA1","ST","626","Iprodione","0.083","0.021","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CA9806080056STCA1","ST","626","Iprodione","0.035","0.021","M","Q","M","O","FR","","NC","T","1","","CA","","15.0"
"CA9806080056STCA1","ST","338","Dichlorvos (DDVP)","0.003","0.002","M","Q","M","O","FR","","NC","T","1","","CA","","1"
"CA9806080068STCA1","ST","626","Iprodione","0.22","0.021","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CA9806080140STCA1","ST","011","Captan","0.02","0.012","M","Q","M","O","FR","","NC","D","1","","CA","","25"
"CA9806080151STCA1","ST","679","Myclobutanil","0.033","0.02","M","Q","H","O","FR","","NC","D","1","","CA","","0.5 R"
"CA9806080230STCA1","ST","052","Malathion","0.019","0.004","M","","M","O","FR","","NC","T","1","","CA","","8"
"CA9806080284STCA1","ST","011","Captan","0.27","0.012","M","","M","O","FR","","NC","O","1","","CA","","25"
"CA9807130089STCA1","ST","052","Malathion","0.024","0.004","M","","M","O","FR","","NC","T","1","","","","8"
"CA9807130122STCA1","ST","159","Methomyl","0.32","0.012","M","","H","O","FR","","NC","D","1","","CA","","2"
"CA9807130122STCA1","ST","529","Vinclozolin","0.017","0.01","M","Q","M","O","FR","","NC","D","1","","CA","","10"
"CA9807130128STCA1","ST","159","Methomyl","0.28","0.012","M","","H","O","FR","","NC","O","1","","CA","","2"
"CA9807130128STCA1","ST","900","Endosulfan I","0.008","0.005","M","Q","M","O","FR","","NC","O","1","","CA","","2.0"
"CA9807130128STCA1","ST","901","Endosulfan II","0.049","0.006","M","","M","O","FR","","NC","O","1","","CA","","2.0"
"CA9807130128STCA1","ST","902","Endosulfan sulfate","0.035","0.007","M","","M","O","FR","","NC","O","1","","CA","","2.0"
"CA9807130140STCA1","ST","529","Vinclozolin","0.16","0.01","M","","M","O","FR","","NC","D","1","","CA","","10"
"CA9807130140STCA1","ST","052","Malathion","0.014","0.004","M","","M","O","FR","","NC","D","1","","CA","","8"
"CA9807130151STCA1","ST","102","Carbaryl","0.2","0.008","M","","H","O","FR","","NC","D","1","","CA","","10"
"CA9807130198STCA1","ST","011","Captan","0.17","0.012","M","","M","O","FR","","NC","T","1","","CA","","25"
"CA9807130198STCA1","ST","052","Malathion","0.007","0.004","M","Q","M","O","FR","","NC","T","1","","CA","","8"
"CA9807130230STCA1","ST","529","Vinclozolin","0.49","0.01","M","","M","O","FR","","NC","T","1","","CA","","10"
"CA9807130252STUS1","ST","192","Benomyl","0.22","0.05","M","","H","O","FR","","NC","D","1","","CA","","5.0"
"CA9807130252STCA1","ST","052","Malathion","0.069","0.004","M","","M","O","FR","","NC","D","1","","CA","","8"
"CA9808100004STCA1","ST","052","Malathion","0.081","0.004","M","","M","O","FR","","NC","D","1","","CA","","8"
"CA9808100010STCA1","ST","159","Methomyl","0.02","0.012","M","Q","H","O","FR","","NC","D","1","","CA","","2"
"CA9808100010STCA1","ST","679","Myclobutanil","0.033","0.02","M","Q","H","O","FR","","NC","D","1","","CA","","0.5 R"
"CA9808100156STCA1","ST","626","Iprodione","0.079","0.021","M","","M","O","FR","","PO","O","1","","CA","","15.0"
"CA9808100233STCA1","ST","159","Methomyl","0.054","0.012","M","","H","O","FR","","NC","D","1","","CA","","2"
"CA9808100411STCA1","ST","679","Myclobutanil","0.033","0.02","M","Q","H","O","FR","","NC","O","1","","CA","","0.5 R"
"CA9808110031STCA1","ST","052","Malathion","0.061","0.004","M","","M","O","FR","","NC","T","1","","CA","","8"
"CA9808110038STCA1","ST","052","Malathion","0.052","0.004","M","","M","O","FR","","NC","T","1","","CA","","8"
"CA9808110038STCA1","ST","679","Myclobutanil","0.033","0.02","M","Q","H","O","FR","","NC","T","1","","CA","","0.5 R"
"CA9808110273STCA1","ST","679","Myclobutanil","0.073","0.02","M","","H","O","FR","","NC","D","1","","CA","","0.5 R"
"CA9808110273STCA1","ST","052","Malathion","0.034","0.004","M","","M","O","FR","","NC","D","1","","CA","","8"
"CA9809210053STCA1","ST","159","Methomyl","0.044","0.012","M","","H","O","FR","","NC","T","1","","CA","","2"
"CA9809210053STCA1","ST","052","Malathion","0.017","0.004","M","","M","O","FR","","NC","T","1","","CA","","8"
"CA9809210064STCA1","ST","052","Malathion","0.064","0.004","M","","M","O","FR","","NC","T","1","","CA","","8"
"CA9809210064STCA1","ST","529","Vinclozolin","0.017","0.01","M","Q","M","O","FR","","NC","T","1","","CA","","10"
"CA9809210064STCA1","ST","626","Iprodione","0.26","0.021","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CA9809210094STCA1","ST","626","Iprodione","0.15","0.021","M","","M","O","FR","","NC","T","1","","CA","","15.0"
"CA9809210094STCA1","ST","160","Chlorpyrifos","0.007","0.004","M","Q","M","O","FR","","NC","T","1","","CA","","0.2"
"CA9809210094STCA1","ST","159","Methomyl","0.056","0.012","M","","H","O","FR","","NC","T","1","","CA","","2"
"CA9809210146STCA1","ST","626","Iprodione","0.29","0.021","M","","M","O","FR","","NC","D","1","","CA","","15.0"
"CA9809210177STCA1","ST","679","Myclobutanil","0.033","0.02","M","Q","H","O","FR","","NC","O","1","","CA","","0.5 R"
"CA9809210211STUS1","ST","192","Benomyl","0.23","0.05","M","","H","O","FR","","NC","T","1","","CA","","5.0"
"CA9809220121STCA1","ST","159","Methomyl","0.02","0.012","M","Q","H","O","FR","","NC","O","1","","CA","","2"
"CA9809220121STCA1","ST","902","Endosulfan sulfate","0.012","0.007","M","Q","M","O","FR","","NC","O","1","","CA","","2.0"
"CA9810130122STCA1","ST","102","Carbaryl","0.062","0.008","M","","H","O","FR","","NC","D","1","","CA","","10"
"CA9810130122STCA1","ST","011","Captan","0.045","0.012","M","","M","O","FR","","NC","D","1","","CA","","25"
"CA9810130122STCA1","ST","052","Malathion","0.033","0.004","M","","M","O","FR","","NC","D","1","","CA","","8"
