"Sample ID","Commod","Pesticide Code","Pesticide Name","Test Class","Concentration","LOD","pp_","Confirm 1","Confirm 2","Annotate","Quantitate","Mean","Extract","Determ","EPA Tolerance (ppm)","pesticide_name_clean"
"CA9802090149STCA1","ST","902","Endosulfan sulfate","A",0.012,0.007,"M","D","M","Q","M","O","551","05","2","endosulfan sulfate"
"CA9802090149STCA1","ST","901","Endosulfan II","A",0.01,0.006,"M","D",NA,"Q","M","O","551","05","2","endosulfan ii"
"CA9802090233STCA1","ST","159","Methomyl","E",1,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9802090233STCA1","ST","102","Carbaryl","E",0.54,0.008,"M","M",NA,NA,"H","O","553","12","10","carbaryl"
"CA9802100152STCA1","ST","159","Methomyl","E",0.9,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9804200146STCA1","ST","102","Carbaryl","E",0.031,0.008,"M","D","M",NA,"H","O","553","12","10","carbaryl"
"CA9805060233STCA1","ST","159","Methomyl","E",0.32,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9807130122STCA1","ST","052","Malathion","C",0.052,0.004,"M","D","M",NA,"M","O","552","02","8","malathion"
"CA9807130122STCA1","ST","159","Methomyl","E",0.32,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9807130128STCA1","ST","901","Endosulfan II","A",0.049,0.006,"M","D","M",NA,"M","O","551","05","2","endosulfan ii"
"CA9807130128STCA1","ST","902","Endosulfan sulfate","A",0.035,0.007,"M","D",NA,NA,"M","O","551","05","2","endosulfan sulfate"
"CA9807130128STCA1","ST","900","Endosulfan I","A",0.008,0.005,"M","D",NA,"Q","M","O","551","05","2","endosulfan i"
"CA9807130140STCA1","ST","052","Malathion","C",0.014,0.004,"M","D",NA,NA,"M","O","552","02","8","malathion"
"CA9807130151STCA1","ST","102","Carbaryl","E",0.2,0.008,"M","M",NA,NA,"H","O","553","12","10","carbaryl"
"CA9807130252STCA1","ST","052","Malathion","C",0.069,0.004,"M","D","M",NA,"M","O","552","02","8","malathion"
"CA9808100004STCA1","ST","159","Methomyl","E",0.75,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9808100010STCA1","ST","052","Malathion","C",0.021,0.004,"M","D","M",NA,"M","O","552","02","8","malathion"
"CA9808100010STCA1","ST","159","Methomyl","E",0.02,0.012,"M","M",NA,"Q","H","O","553","12","2","methomyl"
"CA9808100156STCA1","ST","159","Methomyl","E",0.19,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9808100233STCA1","ST","159","Methomyl","E",0.054,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9808110031STCA1","ST","052","Malathion","C",0.061,0.004,"M","D","M",NA,"M","O","552","02","8","malathion"
"CA9808110038STCA1","ST","052","Malathion","C",0.052,0.004,"M","D","M",NA,"M","O","552","02","8","malathion"
"CA9808110273STCA1","ST","102","Carbaryl","E",0.91,0.008,"M","M",NA,NA,"H","O","553","12","10","carbaryl"
"CA9809210053STCA1","ST","159","Methomyl","E",0.044,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9809210064STCA1","ST","052","Malathion","C",0.064,0.004,"M","D","M",NA,"M","O","552","02","8","malathion"
"CA9809210094STCA1","ST","159","Methomyl","E",0.056,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9809210094STCA1","ST","160","Chlorpyrifos","C",0.007,0.004,"M","D",NA,"Q","M","O","552","02","0.2","chlorpyrifos"
"CA9809220121STCA1","ST","902","Endosulfan sulfate","A",0.012,0.007,"M","D","M","Q","M","O","551","05","2","endosulfan sulfate"
"CA9810130122STCA1","ST","052","Malathion","C",0.033,0.004,"M","D","M",NA,"M","O","552","02","8","malathion"
"CA9810130122STCA1","ST","159","Methomyl","E",0.24,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9810130198STCA1","ST","159","Methomyl","E",0.02,0.012,"M","M",NA,"Q","H","O","553","12","2","methomyl"
"CA9810130198STCA1","ST","102","Carbaryl","E",0.5,0.008,"M","M",NA,NA,"H","O","553","12","10","carbaryl"
"CA9810130211STCA1","ST","159","Methomyl","E",0.071,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9811030004STCA1","ST","159","Methomyl","E",0.13,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9811030121STCA1","ST","159","Methomyl","E",1.3,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CA9812140053STCA1","ST","159","Methomyl","E",0.02,0.012,"M","M",NA,"Q","H","O","553","12","2","methomyl"
"CA9812140406STCA1","ST","159","Methomyl","E",0.12,0.012,"M","M",NA,NA,"H","O","553","12","2","methomyl"
"CO9808100008STWA1","ST","159","Methomyl","E",0.069,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"CO9809140012STWA1","ST","102","Carbaryl","E",0.35,0.021,"M","D","P",NA,"M","O","553","12","10","carbaryl"
"CO9811160003STWA1","ST","159","Methomyl","E",0.65,0.012,"M","D","P",NA,"M","O","553","12","2","methomyl"
"FL9801220033STFL2","ST","159","Methomyl","E",0.025,0.015,"M","D",NA,"Q",NA,"O","551","12","2","methomyl"
"FL9801220033STFL2","ST","900","Endosulfan I","A",0.008,0.005,"M","D",NA,"Q",NA,"O","551","01","2","endosulfan i"
"FL9801220033STFL2","ST","902","Endosulfan sulfate","A",0.013,0.008,"M","D",NA,"Q",NA,"O","551","01","2","endosulfan sulfate"
"FL9801260001STFL2","ST","159","Methomyl","E",0.26,0.015,"M","D",NA,NA,"H","O","551","12","2","methomyl"
"FL9801260002STFL2","ST","159","Methomyl","E",0.28,0.015,"M","D",NA,NA,"H","O","553","12","2","methomyl"
"FL9802240034STFL2","ST","102","Carbaryl","E",0.33,0.009,"M","D",NA,NA,"H","O","553","12","10","carbaryl"
"FL9803240025STFL2","ST","159","Methomyl","E",0.13,0.015,"M","D",NA,NA,"H","O","553","12","2","methomyl"
"FL9803250019STFL2","ST","902","Endosulfan sulfate","A",0.026,0.008,"M","D","I",NA,"M","O","551","01","2","endosulfan sulfate"
"FL9803250019STFL2","ST","901","Endosulfan II","A",0.013,0.008,"M","D",NA,"Q",NA,"O","551","01","2","endosulfan ii"
"FL9803250019STFL2","ST","159","Methomyl","E",1.7,0.015,"M","D",NA,NA,"H","O","553","12","2","methomyl"
"FL9803260032STFL2","ST","159","Methomyl","E",0.095,0.015,"M","D",NA,NA,"H","O","553","12","2","methomyl"
"FL9805270002STFL2","ST","102","Carbaryl","E",0.19,0.009,"M","D",NA,NA,"H","O","553","12","10","carbaryl"
"FL9806290009STFL2","ST","052","Malathion","C",0.013,0.008,"M","D",NA,"Q",NA,"O","551","14","8","malathion"
"FL9807270001STFL2","ST","159","Methomyl","E",0.058,0.017,"M","D",NA,NA,"H","O","553","12","2","methomyl"
"FL9807280004STFL2","ST","159","Methomyl","E",0.91,0.017,"M","D",NA,NA,"H","O","553","12","2","methomyl"
"FL9807280008STFL2","ST","052","Malathion","C",0.076,0.008,"M","D","I",NA,"M","O","551","16","8","malathion"
"FL9807280018STFL2","ST","159","Methomyl","E",0.079,0.017,"M","D",NA,NA,"H","O","553","12","2","methomyl"
"FL9807280025STFL2","ST","052","Malathion","C",0.054,0.008,"M","D","I",NA,"M","O","551","16","8","malathion"
"FL9808200026STFL2","ST","052","Malathion","C",0.053,0.008,"M","D","I",NA,"M","O","551","16","8","malathion"
"FL9808240005STFL2","ST","901","Endosulfan II","A",0.013,0.008,"M","D",NA,"Q",NA,"O","551","01","2","endosulfan ii"
"FL9808240005STFL2","ST","159","Methomyl","E",0.084,0.017,"M","D",NA,NA,"H","O","553","12","2","methomyl"
"FL9808240025STFL2","ST","052","Malathion","C",0.061,0.008,"M","D","I",NA,"M","O","551","16","8","malathion"
"FL9809280026STFL2","ST","052","Malathion","C",0.051,0.008,"M","D","I",NA,"M","O","551","16","8","malathion"
"FL9810260002STFL2","ST","930","Bifenthrin","O",0.042,0.025,"M","D","I","Q",NA,"O","551","01","3","bifenthrin"
"FL9810260009STFL2","ST","159","Methomyl","E",2.1,0.017,"M","D",NA,NA,"H","R","553","12","2","methomyl"
