"StateFIPS","State","Year","Value","Data Comment",,"SubCategory"
"01","Alabama","2017","1.72","",,"Carbamates/Organophosphates Exposures"
"01","Alabama","2017","0.06","Unstable",,"Organochlorines Exposures"
"01","Alabama","2017","12.04","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"01","Alabama","2017","1.83","",,"Boric Acid Exposures"
"01","Alabama","2017","4.60","",,"Other (baits & gels)/Unknown Exposures"
"02","Alaska","2017","0.68","Unstable",,"Carbamates/Organophosphates Exposures"
"02","Alaska","2017","0.00","Unstable",,"Organochlorines Exposures"
"02","Alaska","2017","5.54","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"02","Alaska","2017","0.41","Unstable",,"Boric Acid Exposures"
"02","Alaska","2017","1.76","",,"Other (baits & gels)/Unknown Exposures"
"04","Arizona","2017","1.31","",,"Carbamates/Organophosphates Exposures"
"04","Arizona","2017","0.07","Unstable",,"Organochlorines Exposures"
"04","Arizona","2017","9.53","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"04","Arizona","2017","0.78","",,"Boric Acid Exposures"
"04","Arizona","2017","3.38","",,"Other (baits & gels)/Unknown Exposures"
"05","Arkansas","2017","1.96","",,"Carbamates/Organophosphates Exposures"
"05","Arkansas","2017","0.03","Unstable",,"Organochlorines Exposures"
"05","Arkansas","2017","14.78","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"05","Arkansas","2017","2.73","",,"Boric Acid Exposures"
"05","Arkansas","2017","5.79","",,"Other (baits & gels)/Unknown Exposures"
"06","California","2017","0.89","",,"Carbamates/Organophosphates Exposures"
"06","California","2017","0.08","",,"Organochlorines Exposures"
"06","California","2017","7.32","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"06","California","2017","1.57","",,"Boric Acid Exposures"
"06","California","2017","4.27","",,"Other (baits & gels)/Unknown Exposures"
"08","Colorado","2017","0.71","",,"Carbamates/Organophosphates Exposures"
"08","Colorado","2017","0.05","Unstable",,"Organochlorines Exposures"
"08","Colorado","2017","5.53","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"08","Colorado","2017","0.39","",,"Boric Acid Exposures"
"08","Colorado","2017","2.32","",,"Other (baits & gels)/Unknown Exposures"
"09","Connecticut","2017","0.84","",,"Carbamates/Organophosphates Exposures"
"09","Connecticut","2017","0.20","Unstable",,"Organochlorines Exposures"
"09","Connecticut","2017","5.71","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"09","Connecticut","2017","1.34","",,"Boric Acid Exposures"
"09","Connecticut","2017","4.82","",,"Other (baits & gels)/Unknown Exposures"
"10","Delaware","2017","1.14","Unstable",,"Carbamates/Organophosphates Exposures"
"10","Delaware","2017","0.10","Unstable",,"Organochlorines Exposures"
"10","Delaware","2017","8.73","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"10","Delaware","2017","2.91","",,"Boric Acid Exposures"
"10","Delaware","2017","5.61","",,"Other (baits & gels)/Unknown Exposures"
"11","District of Columbia","2017","0.43","Unstable",,"Carbamates/Organophosphates Exposures"
"11","District of Columbia","2017","0.14","Unstable",,"Organochlorines Exposures"
"11","District of Columbia","2017","7.49","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"11","District of Columbia","2017","1.59","Unstable",,"Boric Acid Exposures"
"11","District of Columbia","2017","5.48","",,"Other (baits & gels)/Unknown Exposures"
"12","Florida","2017","1.24","",,"Carbamates/Organophosphates Exposures"
"12","Florida","2017","0.11","",,"Organochlorines Exposures"
"12","Florida","2017","7.92","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"12","Florida","2017","2.43","",,"Boric Acid Exposures"
"12","Florida","2017","4.25","",,"Other (baits & gels)/Unknown Exposures"
"13","Georgia","2017","1.48","",,"Carbamates/Organophosphates Exposures"
"13","Georgia","2017","0.10","Unstable",,"Organochlorines Exposures"
"13","Georgia","2017","10.64","",,"Pyrethroids/Pyrethrins/Piperonyl Exposures"
"13","Georgia","2017","1.63","",,"Boric Acid Exposures"
"13","Georgia","2017","4.47","",,"Other (baits & gels)/Unknown Exposures"
"15","Hawaii","2017","1.40","",,"Carbamates/Organophosphates Exposures"
