"Program","Year","Period","Week Ending","Geo Level","State","State ANSI","Ag District","Ag District Code","County","County ANSI","Zip Code","Region","watershed_code","Watershed","Commodity","Domain","Domain Category","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>VALUE</b>","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB  -  <b>CV (%)</b>","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>VALUE</b>","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / APPLICATION, AVG  -  <b>CV (%)</b>","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>VALUE</b>","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN LB / ACRE / YEAR, AVG  -  <b>CV (%)</b>","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>VALUE</b>","STRAWBERRIES, BEARING - APPLICATIONS, MEASURED IN NUMBER, AVG  -  <b>CV (%)</b>","STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>VALUE</b>","STRAWBERRIES, BEARING - TREATED, MEASURED IN PCT OF AREA BEARING, AVG  -  <b>CV (%)</b>"
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (AZOXYSTROBIN = 128810)","3,400","","0.231","","0.322","","1.4","","19",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFAC F727 = 16489)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BACILLUS SUBTILIS = 6479)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BLAD = 30006)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BORAX DECAHYDRATE = 11102)","2,800","","0.042","","0.093","","2.2","","52",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BOSCALID = 128008)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (BT SUBSP KURSTAKI EVB-113-19 = 6544)"," (NA)",""," (NA)",""," (NA)",""," (D)",""," (D)",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CAPTAN = 81301)","747,100","","1.746","","14.491","","8.3","","90",""
"SURVEY","2023","YEAR","","REGION : MULTI-STATE","","","","","","","","PROGRAM STATES","00000000","","STRAWBERRIES","CHEMICAL, FUNGICIDE","CHEMICAL, FUNGICIDE: (CHLOROTHALONIL = 81901)"," (D)",""," (D)",""," (D)",""," (D)",""," (D)",""
