"Program","Year","Period","Week Ending","State","State ANSI","Data Item","Data label 1","Data label 2","Value","CV (%)"
"CENSUS",2022,"YEAR",NA,"CALIFORNIA","06","ACRES BEARING",NA,NA,"46,093","21.8"
"CENSUS",2022,"YEAR",NA,"CALIFORNIA","06","ACRES GROWN",NA,NA,"46,813","21.9"
"CENSUS",2022,"YEAR",NA,"CALIFORNIA","06","ACRES NON-BEARING",NA,NA,"720","50.2"
"CENSUS",2022,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA BEARING",NA,NA,"626","26.9"
"CENSUS",2022,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",NA,NA,"651","27.8"
"CENSUS",2022,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA NON-BEARING",NA,NA,"85","58.8"
"CENSUS",2022,"YEAR",NA,"FLORIDA","12","ACRES BEARING",NA,NA,"13,413","5.9"
"CENSUS",2022,"YEAR",NA,"FLORIDA","12","ACRES GROWN",NA,NA,"13,663","5.5"
"CENSUS",2022,"YEAR",NA,"FLORIDA","12","ACRES NON-BEARING",NA,NA,"249","23.3"
"CENSUS",2022,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA BEARING",NA,NA,"280","12.6"
"CENSUS",2022,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA GROWN",NA,NA,"280","12.6"
"CENSUS",2022,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA NON-BEARING",NA,NA,"17","31.6"
"CENSUS",2022,"YEAR",NA,"NEW YORK","36","ACRES BEARING",NA,NA,"751","14.3"
"CENSUS",2022,"YEAR",NA,"NEW YORK","36","ACRES GROWN",NA,NA,"913","14.4"
"CENSUS",2022,"YEAR",NA,"NEW YORK","36","ACRES NON-BEARING",NA,NA,"162","16.9"
"CENSUS",2022,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA BEARING",NA,NA,"439","6.4"
"CENSUS",2022,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA GROWN",NA,NA,"475","5.8"
"CENSUS",2022,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA NON-BEARING",NA,NA,"161","6.1"
"CENSUS",2022,"YEAR",NA,"NORTH CAROLINA","37","ACRES BEARING",NA,NA,"1,012","17.4"
"CENSUS",2022,"YEAR",NA,"NORTH CAROLINA","37","ACRES GROWN",NA,NA,"1,073","16.9"
"CENSUS",2022,"YEAR",NA,"NORTH CAROLINA","37","ACRES NON-BEARING",NA,NA,"61","18.6"
"CENSUS",2022,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA BEARING",NA,NA,"322","31.4"
"CENSUS",2022,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA GROWN",NA,NA,"340","32.7"
"CENSUS",2022,"YEAR",NA,"NORTH CAROLINA","37","OPERATIONS WITH AREA NON-BEARING",NA,NA,"60","49.2"
"CENSUS",2022,"YEAR",NA,"OREGON","41","ACRES BEARING",NA,NA,"1,664","19.6"
"CENSUS",2022,"YEAR",NA,"OREGON","41","ACRES GROWN",NA,NA,"1,853","17.4"
"CENSUS",2022,"YEAR",NA,"OREGON","41","ACRES NON-BEARING",NA,NA,"188","15.2"
"CENSUS",2022,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA BEARING",NA,NA,"294","6.7"
"CENSUS",2022,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA GROWN",NA,NA,"313","7.3"
"CENSUS",2022,"YEAR",NA,"OREGON","41","OPERATIONS WITH AREA NON-BEARING",NA,NA,"54","30.7"
"CENSUS",2022,"YEAR",NA,"WASHINGTON","53","ACRES BEARING",NA,NA,"856","35.2"
"CENSUS",2022,"YEAR",NA,"WASHINGTON","53","ACRES GROWN",NA,NA,"1,011","38.7"
"CENSUS",2022,"YEAR",NA,"WASHINGTON","53","ACRES NON-BEARING",NA,NA,"156","97.2"
"CENSUS",2022,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA BEARING",NA,NA,"287","16.1"
"CENSUS",2022,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA GROWN",NA,NA,"307","11.0"
"CENSUS",2022,"YEAR",NA,"WASHINGTON","53","OPERATIONS WITH AREA NON-BEARING",NA,NA,"50","44.1"
"CENSUS",2017,"YEAR",NA,"CALIFORNIA","06","ACRES BEARING",NA,NA,"36,759","5.2"
"CENSUS",2017,"YEAR",NA,"CALIFORNIA","06","ACRES GROWN",NA,NA,"36,768","5.2"
"CENSUS",2017,"YEAR",NA,"CALIFORNIA","06","ACRES NON-BEARING",NA,NA,"9","(H)"
"CENSUS",2017,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA BEARING",NA,NA,"658","25.7"
"CENSUS",2017,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA GROWN",NA,NA,"676","24.5"
"CENSUS",2017,"YEAR",NA,"CALIFORNIA","06","OPERATIONS WITH AREA NON-BEARING",NA,NA,"48","90.6"
"CENSUS",2017,"YEAR",NA,"FLORIDA","12","ACRES BEARING",NA,NA,"9,426","16.6"
"CENSUS",2017,"YEAR",NA,"FLORIDA","12","ACRES GROWN",NA,NA,"9,499","16.8"
"CENSUS",2017,"YEAR",NA,"FLORIDA","12","ACRES NON-BEARING",NA,NA,"73","86.5"
"CENSUS",2017,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA BEARING",NA,NA,"195","20.8"
"CENSUS",2017,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA GROWN",NA,NA,"201","19.8"
"CENSUS",2017,"YEAR",NA,"FLORIDA","12","OPERATIONS WITH AREA NON-BEARING",NA,NA,"17","96.3"
"CENSUS",2017,"YEAR",NA,"NEW YORK","36","ACRES BEARING",NA,NA,"990","31.4"
"CENSUS",2017,"YEAR",NA,"NEW YORK","36","ACRES GROWN",NA,NA,"1,229","21.2"
"CENSUS",2017,"YEAR",NA,"NEW YORK","36","ACRES NON-BEARING",NA,NA,"240","49.5"
"CENSUS",2017,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA BEARING",NA,NA,"518","17.0"
"CENSUS",2017,"YEAR",NA,"NEW YORK","36","OPERATIONS WITH AREA GROWN",NA,NA,"568","13.5"
