"Program","Year","Period","Week Ending","State","State ANSI","Data Item","Data label 1","Data label 2","Value","CV (%)"
"SURVEY",2025,"WEEK #14",2025-04-06,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"6",NA
"SURVEY",2025,"WEEK #14",2025-04-06,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"30",NA
"SURVEY",2025,"WEEK #14",2025-04-06,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"64",NA
"SURVEY",2025,"WEEK #14",2025-04-06,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"0",NA
"SURVEY",2025,"WEEK #14",2025-04-06,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2025,"WEEK #16",2025-04-20,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"3",NA
"SURVEY",2025,"WEEK #16",2025-04-20,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"29",NA
"SURVEY",2025,"WEEK #16",2025-04-20,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"68",NA
"SURVEY",2025,"WEEK #16",2025-04-20,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"0",NA
"SURVEY",2025,"WEEK #16",2025-04-20,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"0",NA
"SURVEY",2025,"WEEK #18",2025-05-04,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT EXCELLENT",NA,"4",NA
"SURVEY",2025,"WEEK #18",2025-05-04,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT FAIR",NA,"32",NA
"SURVEY",2025,"WEEK #18",2025-05-04,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT GOOD",NA,"56",NA
"SURVEY",2025,"WEEK #18",2025-05-04,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT POOR",NA,"7",NA
"SURVEY",2025,"WEEK #18",2025-05-04,"NORTH CAROLINA","37","CONDITION","MEASURED IN PCT VERY POOR",NA,"1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT EXCELLENT","-1",NA
"SURVEY",2025,"WEEK #20",2025-05-18,"NORTH CAROLINA","37","CONDITION","5 YEAR AVG","MEASURED IN PCT FAIR","-1",NA
